rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
PPMI_3057_MR_SAG_3D_T1	973.0	537.0	2149.0	1548.0	474.0	2800.0	5862.0	3529.0	966.0	5290.0	2655.0	3143.0	2043.0	4079.0	648.0	1211.0	1251.0	830.0	1216.0	1649.0	4212.0	1102.0	4681.0	3993.0	460.0	6947.0	6840.0	5195.0	3401.0	3767.0	291.0	502.0	292.0	2603.0	87136.1	1120702.0	1521904.55288
PPMI_3063_MR_SAG_3D_T1	772.0	713.0	2041.0	1601.0	449.0	2905.0	4547.0	3243.0	792.0	4226.0	2439.0	2600.0	1937.0	3251.0	518.0	1625.0	1596.0	819.0	1674.0	1445.0	3772.0	1053.0	4302.0	4252.0	574.0	4864.0	6671.0	5063.0	3180.0	3652.0	308.0	470.0	374.0	2127.0	79853.0	1021327.0	1397918.3509
PPMI_3064_MR_SAG_3D_T1	931.0	717.0	1573.0	1568.0	371.0	2898.0	4453.0	3135.0	865.0	4711.0	2653.0	2931.0	1980.0	3412.0	726.0	1351.0	1426.0	846.0	1686.0	1600.0	3605.0	1035.0	4165.0	3295.0	737.0	5396.0	6248.0	4419.0	3740.0	3833.0	303.0	481.0	301.0	2252.0	79623.4	1031909.0	1391501.82121
PPMI_3069_MR_SAG_3D_T1	916.0	924.0	2570.0	1192.0	480.0	3431.0	5418.0	3954.0	1044.0	4510.0	2655.0	2690.0	2391.0	3531.0	631.0	1396.0	1445.0	722.0	1476.0	1146.0	4030.0	1179.0	4833.0	4832.0	633.0	5658.0	7344.0	6030.0	3609.0	3831.0	328.0	576.0	371.0	2677.0	88430.4	1112582.0	1588107.6383
PPMI_3071_MR_SAG_3D_T1	673.0	803.0	2476.0	1869.0	349.0	2280.0	4552.0	2661.0	956.0	5873.0	2439.0	3560.0	2177.0	2874.0	550.0	1149.0	1427.0	714.0	1461.0	1794.0	3633.0	1142.0	4549.0	3643.0	660.0	4953.0	6394.0	4702.0	3118.0	3118.0	290.0	463.0	272.0	2605.0	80173.1	1021856.0	1435962.84157
PPMI_3072_MR_SAG_3D_T1	687.0	439.0	1538.0	1648.0	381.0	2316.0	4093.0	2473.0	701.0	5034.0	2303.0	3318.0	1615.0	2848.0	575.0	1259.0	963.0	667.0	957.0	1597.0	3180.0	788.0	4136.0	3248.0	447.0	4435.0	5846.0	4396.0	3233.0	2681.0	237.0	413.0	282.0	1886.0	70588.6	905698.0	1221251.43084
PPMI_3073_MR_SAG_3D_T1	838.0	685.0	1810.0	1865.0	386.0	2656.0	3879.0	2961.0	757.0	4234.0	2560.0	3184.0	1875.0	3093.0	574.0	1390.0	1278.0	824.0	1235.0	1716.0	3506.0	1101.0	4575.0	3419.0	454.0	4962.0	5905.0	5817.0	3345.0	3314.0	307.0	424.0	395.0	2571.0	77757.7	992720.0	1335187.14686
PPMI_3074_MR_SAG_3D_T1	883.0	1069.0	2519.0	2179.0	424.0	3444.0	5553.0	3955.0	977.0	6941.0	2938.0	3984.0	2215.0	4262.0	735.0	2111.0	1573.0	971.0	1733.0	2107.0	4163.0	1312.0	5922.0	4268.0	682.0	7395.0	7038.0	6154.0	3912.0	3985.0	374.0	473.0	367.0	2518.0	99129.4	1286171.0	1712507.52163
PPMI_3075_MR_SAG_3D_T1	823.0	724.0	2747.0	1676.0	558.0	3932.0	6548.0	3552.0	1233.0	5289.0	2902.0	3465.0	2296.0	3974.0	726.0	2051.0	1534.0	837.0	1687.0	1828.0	4690.0	1425.0	5878.0	4435.0	787.0	7682.0	8920.0	5990.0	4773.0	4481.0	299.0	521.0	412.0	3158.0	101805.0	1273987.0	1958072.58603
PPMI_3401_MR_MPRAGE_SAG_br	1136.0	639.0	2142.0	1500.0	361.0	3098.0	4818.0	3004.0	981.0	4688.0	2454.0	2702.0	1958.0	3649.0	681.0	1518.0	1738.0	745.0	1803.0	1359.0	3871.0	1317.0	4769.0	3777.0	585.0	6306.0	8270.0	5231.0	4462.0	3771.0	281.0	453.0	459.0	2478.0	86990.0	1133786.0	1538942.01984
