lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
PPMI_3188_MR_SAG_MPRAGE_GRAPPA	914.0	734.0	1763.0	1239.0	336.0	2946.0	3347.0	3127.0	966.0	4130.0	2355.0	2937.0	1562.0	2935.0	635.0	1355.0	1280.0	591.0	1187.0	1289.0	3785.0	1169.0	4203.0	3750.0	837.0	4138.0	6439.0	4626.0	3696.0	5060.0	204.0	472.0	414.0	2169.0	76590.2	982863.0	1421637.96446
PPMI_3191_MR_SAG_MPRAGE_GRAPPA	669.0	429.0	2116.0	1501.0	276.0	2673.0	4157.0	3278.0	1082.0	5289.0	2556.0	2978.0	1682.0	2338.0	585.0	1179.0	1563.0	618.0	1189.0	1558.0	3518.0	1135.0	4555.0	3408.0	483.0	4720.0	6417.0	5075.0	3312.0	3362.0	197.0	420.0	431.0	2346.0	77079.5	971013.0	1318527.54006
PPMI_3257_MR_SAG_FSPGR_3D	971.0	266.0	2434.0	1099.0	530.0	3309.0	4877.0	3967.0	658.0	4842.0	2714.0	2181.0	2460.0	3909.0	932.0	1613.0	1789.0	847.0	1331.0	815.0	4443.0	525.0	5604.0	3262.0	656.0	6617.0	10559.0	5836.0	4358.0	4007.0	315.0	401.0	355.0	2558.0	91025.2	1398763.0	1797043.79675
PPMI_3260_MR_SAG_FSPGR_3D	1109.0	607.0	2556.0	1488.0	546.0	3427.0	4449.0	3812.0	936.0	6143.0	3404.0	2394.0	1684.0	3765.0	668.0	1203.0	1795.0	1000.0	1889.0	1087.0	4159.0	1124.0	5220.0	5031.0	774.0	7874.0	8169.0	7161.0	4229.0	4471.0	192.0	360.0	493.0	2877.0	96080.4	1128607.0	1509143.06848
PPMI_3264_MR_SAG_FSPGR_3D	606.0	341.0	1648.0	749.0	706.0	2656.0	3751.0	2837.0	415.0	3832.0	2230.0	1990.0	1855.0	2110.0	504.0	1241.0	970.0	613.0	947.0	827.0	3620.0	661.0	3443.0	2958.0	815.0	4505.0	6899.0	7227.0	2472.0	3197.0	221.0	772.0	282.0	1734.0	69620.0	1213739.0	1566116.31927
PPMI_3270_MR_SAG_FSPGR_3D	1113.0	579.0	2154.0	1383.0	451.0	2664.0	3587.0	3808.0	928.0	5568.0	3087.0	2888.0	1979.0	3286.0	633.0	1217.0	1534.0	795.0	1280.0	1150.0	4084.0	827.0	5120.0	3382.0	1113.0	7498.0	7838.0	6238.0	4526.0	4166.0	244.0	342.0	530.0	2664.0	88638.2	1105146.0	1546677.50696
PPMI_3271_MR_SAG_FSPGR_3D	1095.0	740.0	2450.0	1330.0	824.0	3851.0	4713.0	5102.0	865.0	4653.0	3112.0	1973.0	2379.0	4353.0	770.0	1394.0	1684.0	911.0	1535.0	812.0	4735.0	1349.0	4950.0	4234.0	919.0	7536.0	8389.0	5086.0	4469.0	4634.0	254.0	631.0	608.0	3615.0	95945.2	1388103.0	1718438.79734
PPMI_3276_MR_SAG_FSPGR_3D	1274.0	837.0	2723.0	868.0	466.0	3434.0	5724.0	4127.0	747.0	5215.0	3626.0	1855.0	1864.0	3970.0	917.0	1700.0	2031.0	759.0	1362.0	633.0	4130.0	1465.0	5321.0	3552.0	1020.0	7061.0	8671.0	5005.0	4795.0	4140.0	242.0	361.0	557.0	3226.0	93659.9	1180822.0	1534446.0102
PPMI_3277_MR_SAG_FSPGR_3D	1244.0	687.0	2542.0	1405.0	537.0	3476.0	4895.0	4212.0	869.0	5487.0	3358.0	3557.0	2104.0	4385.0	855.0	1564.0	1881.0	827.0	1481.0	1182.0	4730.0	1206.0	5434.0	4247.0	1184.0	7277.0	9128.0	6426.0	4433.0	5760.0	238.0	467.0	511.0	3288.0	100851.0	1367210.0	1749204.87602
PPMI_3300_MR_MPRAGE_GRAPPA_	1004.0	476.0	2117.0	1610.0	431.0	3936.0	4378.0	3182.0	1103.0	5985.0	2513.0	3156.0	1780.0	2678.0	717.0	1422.0	1623.0	634.0	1380.0	1487.0	4313.0	1220.0	5541.0	3749.0	878.0	5933.0	8244.0	5094.0	4107.0	3753.0	233.0	485.0	513.0	2306.0	87967.5	1114822.0	1511904.36256
