rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
PPMI_3355_MR_MPRAGE_GRAPPA_	839.0	862.0	1742.0	1655.0	387.0	3074.0	5241.0	3553.0	803.0	5461.0	2163.0	3257.0	1829.0	3375.0	604.0	1559.0	1275.0	703.0	1453.0	2062.0	4001.0	1132.0	4727.0	3673.0	542.0	5441.0	7575.0	5644.0	3699.0	3044.0	301.0	488.0	318.0	2573.0	85052.9	1133792.0	1442994.0554
PPMI_3357_MR_MPRAGE_GRAPPA_	873.0	771.0	2519.0	1569.0	452.0	2962.0	5930.0	3440.0	1005.0	4259.0	2800.0	3329.0	1995.0	3802.0	796.0	1624.0	1316.0	936.0	1731.0	1830.0	3904.0	1345.0	5871.0	3837.0	584.0	6685.0	8228.0	5350.0	3990.0	3984.0	309.0	406.0	331.0	2820.0	91569.2	1159118.0	1656902.57819
PPMI_3358_MR_MPRAGE_GRAPPA_	900.0	978.0	2982.0	1430.0	526.0	3295.0	7043.0	3504.0	894.0	5113.0	2531.0	3492.0	2330.0	3574.0	789.0	2198.0	1272.0	816.0	1212.0	1706.0	4462.0	1548.0	6080.0	4267.0	723.0	5587.0	8732.0	6584.0	4116.0	3931.0	371.0	442.0	383.0	2976.0	96763.9	1240402.0	1693695.02234
PPMI_3361_MR_MPRAGE_T1_SAG	1099.0	702.0	2163.0	1584.0	420.0	3425.0	6113.0	3947.0	1009.0	4858.0	2362.0	2877.0	1836.0	3739.0	625.0	1719.0	1460.0	827.0	1454.0	1441.0	4433.0	1296.0	4623.0	4505.0	830.0	5809.0	7801.0	5678.0	3748.0	5046.0	274.0	499.0	327.0	2546.0	91064.9	1158178.0	1546495.86431
PPMI_3362_MR_MPRAGE_T1_SAG	969.0	624.0	1873.0	1754.0	365.0	2902.0	5258.0	3416.0	738.0	4738.0	2451.0	3310.0	1864.0	3556.0	694.0	1410.0	1309.0	781.0	1520.0	1825.0	3908.0	1143.0	4805.0	3528.0	579.0	5228.0	6143.0	4990.0	3316.0	3188.0	352.0	375.0	256.0	2442.0	81593.6	1069893.0	1281876.00744
PPMI_3368_MR_MPRAGE_T1_SAG	1021.0	847.0	2109.0	1486.0	516.0	2793.0	6447.0	3275.0	894.0	4726.0	2392.0	3550.0	1927.0	3860.0	728.0	1526.0	1220.0	660.0	1332.0	1591.0	4019.0	1145.0	4248.0	4221.0	678.0	5267.0	6604.0	5604.0	3487.0	3374.0	294.0	452.0	287.0	2448.0	85013.0	1117472.0	1350579.53518
PPMI_3369_MR_MPRAGE_T1_SAG	853.0	670.0	1844.0	1592.0	359.0	2773.0	4339.0	2554.0	1087.0	4734.0	2479.0	3549.0	1800.0	3240.0	744.0	1234.0	1175.0	988.0	1609.0	1822.0	3766.0	1155.0	4583.0	4042.0	534.0	6126.0	5916.0	5004.0	3709.0	3508.0	261.0	426.0	281.0	2472.0	81192.1	1070955.0	1332959.99369
PPMI_3370_MR_MPRAGE_T1_SAG	768.0	986.0	2719.0	2065.0	496.0	3439.0	5086.0	3412.0	1028.0	5279.0	3025.0	3562.0	2147.0	3720.0	707.0	1961.0	1407.0	1016.0	1644.0	1882.0	4523.0	1435.0	5561.0	3919.0	895.0	6758.0	7631.0	5719.0	4413.0	3516.0	250.0	554.0	391.0	2655.0	94566.5	1317136.0	1671851.72872
PPMI_3389_MR_MPRAGE_GRAPPA_	881.0	761.0	1972.0	1416.0	307.0	3078.0	5473.0	2978.0	822.0	5199.0	2455.0	3105.0	1867.0	3352.0	656.0	1509.0	1348.0	875.0	1333.0	1389.0	3822.0	1395.0	5088.0	3942.0	580.0	6132.0	7047.0	5768.0	3775.0	3681.0	226.0	352.0	302.0	2339.0	85220.8	1045502.0	1504390.079
PPMI_3390_MR_MPRAGE_GRAPPA_	948.0	608.0	2024.0	1884.0	369.0	3382.0	4911.0	2887.0	864.0	5542.0	2631.0	3525.0	1929.0	3133.0	737.0	1754.0	1454.0	769.0	1477.0	1862.0	3432.0	1085.0	5109.0	3822.0	478.0	4950.0	6659.0	5645.0	3595.0	3329.0	242.0	434.0	385.0	2537.0	84386.3	1070257.0	1393405.9966
