lh.aparc.thickness	lh_bankssts_thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_frontalpole_thickness	lh_temporalpole_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
PPMI_3812_MR_MPRAGE_GRAPPA_	2.479	2.705	2.459	1.765	2.923	2.643	2.327	2.488	2.523	2.174	2.566	2.007	2.45	2.765	2.878	2.43	2.495	2.521	2.421	1.655	2.083	2.527	2.656	2.297	2.719	2.244	2.693	2.211	2.73	2.498	2.667	2.875	2.429	2.621	2.41789	987682.0	1334068.39339
PPMI_3813_MR_MPRAGE_GRAPPA_	2.326	2.71	2.423	1.794	3.454	2.621	2.203	2.548	2.291	2.041	2.51	2.079	2.396	2.517	3.118	2.086	2.424	2.368	2.157	1.597	1.807	2.331	2.271	2.132	2.556	2.216	2.39	1.996	2.464	2.309	2.513	3.415	2.12	2.678	2.27796	1085862.0	1533263.02564
PPMI_3816_MR_MPRAGE_GRAPPA_	2.629	3.029	2.591	2.027	3.491	2.789	2.541	2.746	2.498	2.337	2.61	2.049	2.598	3.005	3.278	2.585	2.549	2.559	2.477	1.732	2.029	2.597	2.575	2.338	3.203	2.474	2.754	2.186	2.922	2.509	2.742	3.682	2.624	2.901	2.53383	1137477.0	1593455.92514
PPMI_3817_MR_MPRAGE_GRAPPA_	2.602	2.553	2.446	1.745	3.663	2.596	2.255	2.748	2.286	2.136	2.698	1.991	2.508	2.73	2.957	2.209	2.5	2.688	2.249	1.701	2.005	2.097	2.479	2.272	2.699	2.309	2.596	2.007	2.574	2.376	2.578	3.288	2.111	2.737	2.38364	1073803.0	1530550.51897
PPMI_3850_MR_MPRAGE_GRAPPA_	2.381	3.027	2.569	2.0	3.165	2.792	2.349	2.631	2.522	2.21	2.488	2.228	2.276	2.755	3.231	2.37	2.494	2.843	2.455	1.71	2.258	2.565	2.579	2.391	2.516	2.29	2.601	2.282	2.732	2.583	2.497	3.512	2.571	2.748	2.46659	1026565.0	1395630.69516
PPMI_3851_MR_MPRAGE_GRAPPA_	2.531	2.623	2.531	2.011	3.858	2.707	2.386	2.761	2.525	2.399	2.658	2.14	2.482	2.837	2.944	2.344	2.45	2.648	2.319	1.739	2.222	2.436	2.729	2.318	2.684	2.323	2.633	2.256	2.679	2.415	2.671	3.587	2.352	2.834	2.49967	1010862.0	1387883.70243
PPMI_3852_MR_MPRAGE_GRAPPA_	2.259	2.596	2.442	1.81	2.831	2.593	2.248	2.568	2.283	2.052	2.461	1.956	2.233	2.604	2.76	2.301	2.391	2.356	2.217	1.5	1.909	2.193	2.414	2.238	2.545	2.236	2.553	2.222	2.397	2.341	2.43	3.278	2.097	2.787	2.32945	1103265.0	1638125.84643
PPMI_3853_MR_MPRAGE_GRAPPA_	2.446	2.71	2.383	1.931	3.34	2.841	2.473	2.701	2.512	2.186	2.652	1.988	2.6	2.841	3.122	2.496	2.596	2.206	2.282	1.63	2.061	2.59	2.605	2.335	2.704	2.388	2.537	2.165	2.761	2.457	2.426	3.738	2.624	2.794	2.45243	1129900.0	1491728.357
PPMI_3854_MR_MPRAGE_GRAPPA_	2.652	2.593	2.472	2.045	2.914	2.748	2.472	2.695	2.472	2.259	2.515	2.182	2.348	2.934	3.236	2.471	2.565	2.454	2.374	1.789	1.992	2.529	2.581	2.509	2.912	2.292	2.674	2.217	2.892	2.519	2.31	3.606	2.248	2.947	2.48485	1232821.0	1644523.44965
PPMI_3855_MR_MPRAGE_GRAPPA_	2.632	2.823	2.435	1.943	3.196	2.728	2.519	2.681	2.239	2.287	2.535	1.976	2.293	2.87	3.0	2.431	2.535	2.535	2.348	1.687	2.113	2.474	2.561	2.449	2.968	2.36	2.63	2.232	2.717	2.551	2.533	3.799	2.45	2.91	2.47897	1080968.0	1509581.7823
PPMI_3857_MR_MPRAGE_GRAPPA_	2.392	2.517	2.432	1.915	3.444	2.76	2.431	2.573	2.331	2.303	2.575	2.09	2.518	2.738	2.768	2.488	2.588	2.536	2.354	1.734	2.184	2.508	2.686	2.527	3.133	2.288	2.67	2.207	2.888	2.594	2.707	3.558	2.584	2.979	2.50102	930308.0	1220848.07835
PPMI_3859_MR_MPRAGE_GRAPPA_	2.643	2.502	2.43	1.962	3.983	3.029	2.467	3.031	2.29	2.438	2.573	2.265	2.462	2.978	2.698	2.532	2.339	2.759	2.422	1.578	2.201	2.372	2.624	2.506	2.75	2.278	2.679	2.33	2.797	2.699	2.528	3.559	2.456	2.766	2.5437	1102416.0	1490598.46932
