lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
PPMI_3503_MR_MPRAGEadni_br_raw	1887.0	1242.0	4419.0	2556.0	2143.0	9203.0	9365.0	7410.0	1884.0	10341.0	6403.0	5105.0	3849.0	7567.0	1921.0	3094.0	3447.0	1610.0	2390.0	1816.0	7039.0	2680.0	11460.0	8014.0	2263.0	10533.0	15899.0	10633.0	10497.0	9904.0	752.0	2818.0	1004.0	5973.0	890681.0	1205962.39874
PPMI_3515_MR_MPRAGEadni_br_raw	1806.0	2061.0	5394.0	2327.0	2258.0	8573.0	10441.0	10309.0	2329.0	9984.0	5850.0	5629.0	3727.0	8723.0	2238.0	3074.0	3186.0	1718.0	2367.0	2095.0	7953.0	2565.0	10782.0	7547.0	2594.0	12279.0	17390.0	10486.0	10474.0	7860.0	715.0	2193.0	896.0	6073.0	957674.0	1289560.92049
PPMI_3517_MR_MPRAGEadni_br_raw	2262.0	1490.0	4491.0	2733.0	2505.0	9915.0	11227.0	9148.0	2792.0	12110.0	6912.0	7568.0	4501.0	9159.0	2573.0	3570.0	3870.0	2142.0	3230.0	1822.0	9587.0	2794.0	11848.0	9274.0	2281.0	11368.0	18886.0	12979.0	13312.0	11891.0	792.0	2423.0	1136.0	7840.0	1115640.0	1302582.89383
PPMI_3518_MR_MPRAGEadni_br_raw	2066.0	1668.0	4796.0	2614.0	2334.0	10386.0	11060.0	10751.0	2819.0	11276.0	6057.0	5666.0	3809.0	9747.0	2344.0	3868.0	3635.0	1667.0	3230.0	1660.0	8700.0	3179.0	12019.0	10004.0	2542.0	12195.0	18492.0	12355.0	9698.0	9409.0	873.0	2597.0	1050.0	6923.0	1040678.0	1570438.43745
PPMI_3519_MR_MPRAGEadni_br_raw	2420.0	1599.0	6257.0	2187.0	2754.0	10649.0	12457.0	10983.0	2629.0	12998.0	8755.0	7457.0	5974.0	9900.0	2462.0	3566.0	4322.0	3022.0	3389.0	1745.0	9574.0	3320.0	14138.0	9835.0	2382.0	14575.0	22129.0	12533.0	11643.0	9686.0	1208.0	2445.0	1166.0	8156.0	1197989.0	1731413.10517
PPMI_3521_MR_MPRAGEadni_br_raw	2474.0	1531.0	5082.0	2929.0	2101.0	7997.0	10785.0	12066.0	2702.0	12161.0	7407.0	6593.0	4485.0	11449.0	2324.0	2820.0	4016.0	2297.0	2996.0	2094.0	7719.0	3447.0	10958.0	8795.0	2861.0	14531.0	19420.0	12693.0	14330.0	10800.0	896.0	2532.0	1221.0	6039.0	1094349.0	1393552.26702
PPMI_3523_MR_MPRAGEadni_br_raw	2551.0	1234.0	5391.0	3090.0	1197.0	10068.0	12030.0	11659.0	2055.0	12095.0	7412.0	6752.0	4205.0	8711.0	1950.0	2942.0	3402.0	2153.0	2884.0	2077.0	8355.0	2834.0	12023.0	8205.0	2337.0	11314.0	19361.0	10634.0	10739.0	9727.0	895.0	1858.0	958.0	6642.0	1041621.0	1205441.73656
PPMI_3525_MR_MPRAGEadni_br_raw	1961.0	1338.0	4764.0	2359.0	2347.0	10559.0	9823.0	10789.0	2702.0	12987.0	6927.0	5708.0	5027.0	9424.0	2184.0	3287.0	3305.0	2125.0	2932.0	1888.0	7609.0	2775.0	11410.0	8089.0	2994.0	11690.0	20793.0	9674.0	11915.0	9709.0	768.0	2522.0	1143.0	7144.0	1090322.0	1373979.13194
PPMI_3526_MR_MPRAGEadni_br_raw	1930.0	1124.0	3374.0	2668.0	2286.0	9044.0	8811.0	7651.0	2730.0	10949.0	7125.0	5733.0	5025.0	8559.0	1894.0	2846.0	3641.0	2003.0	3254.0	1653.0	8147.0	3536.0	10569.0	7522.0	2066.0	12947.0	18721.0	10324.0	11533.0	9044.0	743.0	2604.0	894.0	6926.0	1049888.0	1633937.4777
PPMI_3527_MR_MPRAGEadni_br_raw	1929.0	1744.0	5645.0	2476.0	2328.0	8946.0	8814.0	8106.0	1961.0	10470.0	6718.0	5815.0	5249.0	8667.0	2351.0	2623.0	3377.0	2414.0	3043.0	1780.0	7049.0	2755.0	11679.0	7074.0	2299.0	13751.0	19672.0	7625.0	10618.0	5833.0	829.0	2486.0	819.0	5715.0	1031489.0	1430436.64536
