rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
PPMI_3503_MR_MPRAGEadni_br_raw	708.0	559.0	1902.0	1053.0	365.0	2657.0	4237.0	2706.0	658.0	4181.0	2045.0	2614.0	1595.0	2711.0	555.0	1348.0	1045.0	642.0	975.0	968.0	3339.0	887.0	4133.0	3231.0	442.0	4074.0	5424.0	4306.0	3146.0	2933.0	290.0	431.0	281.0	2065.0	68501.6	890681.0	1205962.39874
PPMI_3515_MR_MPRAGEadni_br_raw	864.0	1131.0	1934.0	1387.0	375.0	2627.0	4815.0	3203.0	786.0	4060.0	2526.0	3066.0	1833.0	3322.0	568.0	1279.0	1149.0	710.0	1319.0	1528.0	3521.0	1286.0	3776.0	3109.0	759.0	6073.0	5999.0	4539.0	3276.0	3226.0	282.0	462.0	261.0	2074.0	77122.6	957674.0	1289560.92049
PPMI_3517_MR_MPRAGEadni_br_raw	972.0	573.0	1566.0	1724.0	539.0	3701.0	5394.0	3266.0	855.0	5184.0	2280.0	2617.0	1754.0	3372.0	783.0	1560.0	1154.0	836.0	1453.0	1414.0	3838.0	1214.0	4323.0	3513.0	543.0	5315.0	6134.0	5432.0	3778.0	3422.0	325.0	441.0	376.0	2662.0	82299.9	1115640.0	1302582.89383
PPMI_3518_MR_MPRAGEadni_br_raw	900.0	632.0	1516.0	1510.0	321.0	3069.0	5417.0	3292.0	814.0	4247.0	2305.0	2983.0	1758.0	3606.0	709.0	1623.0	1320.0	761.0	1551.0	1654.0	4111.0	1237.0	4926.0	3936.0	649.0	5527.0	6859.0	5331.0	3557.0	2990.0	388.0	444.0	323.0	2429.0	82694.3	1040678.0	1570438.43745
PPMI_3519_MR_MPRAGEadni_br_raw	934.0	627.0	2488.0	1399.0	370.0	3508.0	5454.0	3813.0	840.0	5066.0	3050.0	3058.0	2351.0	3574.0	687.0	1599.0	1757.0	895.0	1413.0	1507.0	4447.0	1143.0	5390.0	4221.0	552.0	6342.0	7935.0	5270.0	3787.0	3655.0	340.0	500.0	362.0	2340.0	90678.5	1197989.0	1731413.10517
PPMI_3521_MR_MPRAGEadni_br_raw	1194.0	1033.0	1813.0	1462.0	400.0	2821.0	4829.0	3471.0	879.0	4214.0	2365.0	2809.0	1905.0	3446.0	562.0	1405.0	1268.0	817.0	1510.0	1245.0	3739.0	1300.0	4651.0	3454.0	681.0	5819.0	6387.0	5113.0	4186.0	4312.0	310.0	417.0	408.0	2351.0	82564.9	1094349.0	1393552.26702
PPMI_3523_MR_MPRAGEadni_br_raw	854.0	703.0	1938.0	1367.0	340.0	3034.0	5196.0	3055.0	1028.0	5300.0	2607.0	3139.0	1895.0	3388.0	554.0	1262.0	1278.0	746.0	1490.0	1398.0	3723.0	1106.0	4357.0	3459.0	648.0	5313.0	6342.0	4658.0	3585.0	3337.0	304.0	336.0	272.0	2142.0	80148.9	1041621.0	1205441.73656
PPMI_3525_MR_MPRAGEadni_br_raw	907.0	724.0	1765.0	1334.0	472.0	2676.0	5090.0	2955.0	765.0	5122.0	2395.0	3238.0	1820.0	3313.0	784.0	1659.0	1316.0	800.0	1410.0	1250.0	3872.0	1309.0	4437.0	3373.0	513.0	5589.0	6838.0	4743.0	3294.0	3940.0	301.0	391.0	300.0	2159.0	80852.4	1090322.0	1373979.13194
PPMI_3526_MR_MPRAGEadni_br_raw	1015.0	711.0	1754.0	1515.0	386.0	2983.0	5021.0	2612.0	1008.0	4699.0	2363.0	3057.0	2065.0	3181.0	666.0	1484.0	1351.0	1004.0	2196.0	1443.0	4087.0	1491.0	4565.0	4066.0	579.0	6347.0	6830.0	5291.0	3950.0	3989.0	292.0	483.0	407.0	2848.0	85569.2	1049888.0	1633937.4777
PPMI_3527_MR_MPRAGEadni_br_raw	627.0	715.0	1835.0	1231.0	437.0	2966.0	3848.0	2585.0	865.0	4390.0	2550.0	2829.0	1925.0	2991.0	721.0	1274.0	1011.0	865.0	1325.0	1192.0	3322.0	1177.0	4303.0	2962.0	567.0	6628.0	6906.0	3374.0	3918.0	2853.0	329.0	440.0	319.0	2094.0	75351.5	1031489.0	1430436.64536
