Subject Medulla Pons SCP Midbrain Whole_brainstem
ADNI_003_S_0907_MR_MPRAGE_br_raw 4291.908198 14505.375795 219.718807 5480.942025 24497.944825
ADNI_003_S_0931_MR_MPRAGE_br_raw 3668.995583 13568.359955 285.921073 5317.698878 22840.975488
ADNI_003_S_0981_MR_MPRAGE_br_raw 4109.754047 13682.182563 188.465991 5546.007721 23526.410323
ADNI_003_S_1021_MR_MPRAGE_br_raw 3651.550958 11874.003019 193.914931 5334.949145 21054.418053
ADNI_011_S_0002_MR_MPRAGE_br_raw 5140.846990 15723.188729 253.746729 7146.038621 28263.821069
ADNI_011_S_0005_MR_MPRAGE_br_raw 4794.828731 15029.086540 278.887459 5948.671956 26051.474685
ADNI_011_S_0008_MR_MPRAGE_br_raw 3470.699195 12691.673396 157.038901 5369.746065 21689.157557
ADNI_011_S_0016_MR_MPRAGE_br_raw 4023.793206 15019.921584 276.684272 5886.570918 25206.969980
ADNI_011_S_0021_MR_MPRAGE_br_raw 3800.572240 13548.178693 238.993690 4905.000013 22492.744636
ADNI_011_S_0022_MR_MPRAGE_br_raw 3753.984697 12734.743597 198.675345 5088.664050 21776.067689
ADNI_011_S_0023_MR_MPRAGE_br_raw 4257.181188 15262.068881 217.335250 5867.451761 25604.037079
ADNI_013_S_0502_MR_MPRAGE_br_raw 4089.500198 14310.981666 230.531374 5899.559842 24530.573081
ADNI_013_S_0575_MR_MPRAGE_br_raw 4177.148110 15143.931771 255.008253 6089.985397 25666.073531
ADNI_013_S_1035_MR_MPRAGE_br_raw 4600.842008 17690.242060 212.715267 6544.546202 29048.345537
ADNI_013_S_1276_MR_MPRAGE_br_raw 4105.212076 12922.164958 252.375826 5955.341119 23235.093978
ADNI_016_S_0359_MR_MPRAGE_br_raw 3267.625938 11954.718578 183.261662 4956.641655 20362.247833
ADNI_016_S_0538_MR_MPRAGE_br_raw 4805.342514 16926.786582 291.807828 7347.128389 29371.065312
ADNI_020_S_0097_MR_MPRAGE_br_raw 4682.179173 15603.356765 214.520949 6554.408761 27054.465648
ADNI_020_S_0883_MR_MPRAGE_br_raw 4402.669842 14277.679383 185.590175 5646.220480 24512.159880
ADNI_020_S_0899_MR_MPRAGE_br_raw 3910.418236 11705.188094 231.149413 5335.450351 21182.206094
ADNI_020_S_1288_MR_MPRAGE_br_raw 5326.938212 16483.472416 308.454065 7055.378681 29174.243374
ADNI_022_S_0014_MR_MPRAGE_br_raw 3470.886671 10280.646893 161.682481 4476.581628 18389.797673
ADNI_022_S_0066_MR_MPRAGE_br_raw 3438.458970 11871.117018 182.720178 5096.135603 20588.431769
PPMI_3635_MR_SAG_T1_3D 5531.799435 18834.513422 241.924428 7124.202504 31732.439790
PPMI_3636_MR_SAG_T1_3D 4464.956300 15632.888911 256.314965 6392.197148 26746.357324
PPMI_3637_MR_SAG_T1_3D 4179.132546 13211.370014 348.760895 5569.775727 23309.039181
PPMI_3750_MR_MPRAGE_GRAPPA_ 5291.184960 17068.815932 289.782368 6718.766255 29368.549516
PPMI_3756_MR_MPRAGE_GRAPPA_ 4844.667008 16083.078096 298.806594 6462.250238 27688.801936
PPMI_3759_MR_MPRAGE_GRAPPA_ 4163.585630 13135.915906 189.034688 5215.592374 22704.128597
PPMI_3765_MR_MPRAGE_GRAPPA_ 4325.246284 12467.506781 275.112987 5402.564343 22470.430396
PPMI_3767_MR_MPRAGE_GRAPPA_ 4486.512980 15245.047618 254.786141 6076.332076 26062.678815
PPMI_3768_MR_MPRAGE_GRAPPA_ 5467.495968 17504.540280 276.887135 6753.926291 30002.849674
PPMI_3769_MR_MPRAGE_GRAPPA_ 3611.018172 11594.263157 187.954643 5238.368452 20631.604423
PPMI_3779_MR_MPRAGE_GRAPPA_ 5246.710779 17599.247488 309.786954 7311.623529 30467.368750
PPMI_3803_MR_MPRAGE_GRAPPA_ 4800.147503 15477.291667 279.830106 6347.428914 26904.698190
PPMI_3804_MR_MPRAGE_GRAPPA_ 4530.448241 14963.278347 320.254955 6091.779932 25905.761477
PPMI_3805_MR_MPRAGE_GRAPPA_ 4001.663657 13364.485300 234.356069 5771.937001 23372.442027
PPMI_3806_MR_MPRAGE_GRAPPA_ 4074.455783 14735.278161 290.631329 5289.799895 24390.165167
PPMI_3807_MR_MPRAGE_GRAPPA_ 4726.601759 16417.997129 289.679158 6297.421227 27731.699273
PPMI_3809_MR_MPRAGE_GRAPPA_ 4601.280014 15329.659676 255.216905 5893.000435 26079.157031
PPMI_3811_MR_MPRAGE_GRAPPA_ 4935.710092 16411.295083 245.122913 6821.122166 28413.250254
PPMI_3812_MR_MPRAGE_GRAPPA_ 4367.368170 15672.328109 245.613840 5679.869535 25965.179654
PPMI_3813_MR_MPRAGE_GRAPPA_ 4686.656216 14592.006081 261.433948 5861.179612 25401.275856
PPMI_3816_MR_MPRAGE_GRAPPA_ 4299.790444 13709.206222 235.829324 5908.248871 24153.074861
PPMI_3817_MR_MPRAGE_GRAPPA_ 4563.784905 17116.619352 286.794194 6494.175483 28461.373934
PPMI_3850_MR_MPRAGE_GRAPPA_ 4366.590724 13631.899229 303.286553 5809.394461 24111.170968
PPMI_3851_MR_MPRAGE_GRAPPA_ 4349.282256 14681.875366 222.828153 5913.774210 25167.759985
PPMI_3852_MR_MPRAGE_GRAPPA_ 4428.624908 14184.830140 259.792916 6131.971832 25005.219797
PPMI_3853_MR_MPRAGE_GRAPPA_ 5324.741369 17195.330570 419.703338 6385.994793 29325.770069
PPMI_3854_MR_MPRAGE_GRAPPA_ 5258.267288 16982.263828 489.545451 6872.538226 29602.614794
PPMI_3855_MR_MPRAGE_GRAPPA_ 4495.990690 13992.707589 356.442664 5674.356313 24519.497257
PPMI_3857_MR_MPRAGE_GRAPPA_ 4036.791335 11869.998516 325.105104 4833.235693 21065.130648
PPMI_3859_MR_MPRAGE_GRAPPA_ 4244.011378 12496.278382 240.491318 5843.640070 22824.421147
PPMI_4004_MR_MPRAGE_GRAPPA_ 4437.025654 13056.974872 248.505056 5842.190709 23584.696292
PPMI_4010_MR_MPRAGE_GRAPPA_ 5027.063928 17323.361950 289.847389 6875.394106 29515.667372
PPMI_4018_MR_MPRAGE_GRAPPA_ 4340.734226 12751.279181 216.326230 5450.248892 22758.588529
PPMI_4032_MR_MPRAGE_GRAPPA_ 5022.601068 16931.418021 365.808816 6290.000118 28609.828023
PPMI_4067_MR_MPRAGE_GRAPPA_ 4519.355722 15183.827726 241.538302 5931.027317 25875.749067
PPMI_4085_MR_MPRAGE_GRAPPA_ 4323.099660 14367.789441 290.403592 5782.135748 24763.428441
PPMI_4139_MR_MPRAGE_GRAPPA_ 4689.390436 16506.565591 293.924617 6838.694842 28328.575486
